,participant,time_condition,trial_score,probe1,probe2
3,1.0,30.0,1.0,6,['B1']
4,1.0,20.0,1.0,6,['B1']
5,1.0,20.0,1.0,6,['B1']
10,1.0,30.0,1.0,6,['B1']
11,1.0,30.0,1.0,6,['B1']
13,1.0,20.0,1.0,6,['B1']
14,1.0,20.0,1.0,6,['B1']
18,1.0,30.0,1.0,6,['B1']
19,1.0,30.0,1.0,6,['B1']
21,1.0,20.0,0.8,6,['B1']
23,1.0,20.0,1.0,6,['B1']
24,1.0,30.0,1.0,6,['B1']
27,1.0,30.0,1.0,6,['B1']
28,1.0,20.0,1.0,6,['B1']
29,1.0,20.0,1.0,6,['B1']
32,1.0,30.0,1.0,6,['B1']
35,1.0,30.0,1.0,6,['B1']
36,1.0,20.0,1.0,6,['B1']
37,1.0,20.0,1.0,6,['B1']
41,1.0,30.0,1.0,6,['B1']
42,1.0,30.0,1.0,6,['B1']
46,1.0,20.0,1.0,6,['B1']
47,1.0,20.0,1.0,6,['B1']
52,2.0,20.0,1.0,5,['B1']
53,2.0,20.0,1.0,6,['B1']
57,2.0,30.0,1.0,6,['B1']
59,2.0,30.0,1.0,6,['B1']
60,2.0,20.0,1.0,6,['B1']
63,2.0,20.0,0.8,5,['B1']
64,2.0,30.0,1.0,6,['B1']
65,2.0,30.0,0.6,5,['B2']
68,2.0,20.0,0.8,5,['B1']
71,2.0,20.0,1.0,6,['B2']
72,2.0,30.0,1.0,6,['B1']
75,2.0,30.0,1.0,5,['B3']
76,2.0,20.0,1.0,5,['B2']
77,2.0,20.0,1.0,6,['B1']
80,2.0,30.0,1.0,6,['B1']
81,2.0,30.0,1.0,6,['B1']
85,2.0,20.0,0.4,5,['B1']
87,2.0,20.0,0.6,6,['B1']
90,2.0,30.0,1.0,6,['B1']
91,2.0,30.0,1.0,5,['B2']
92,2.0,20.0,1.0,6,['B1']
93,2.0,20.0,1.0,5,['B2']
96,4.0,30.0,1.0,5,['B1']
99,4.0,30.0,1.0,6,['B1']
100,4.0,20.0,0.8,5,['B4']
101,4.0,20.0,1.0,5,['B3']
104,4.0,30.0,0.6,4,"['B4', 'B2']"
105,4.0,30.0,1.0,4,"['B2', 'B4']"
108,4.0,20.0,0.8,4,"['B4', 'B5']"
111,4.0,20.0,0.0,2,['B5']
113,4.0,30.0,0.0,2,"['B4', 'B5']"
114,4.0,30.0,0.6,3,"['B4', 'B3']"
118,4.0,20.0,0.8,4,"['B2', 'B3']"
119,4.0,20.0,1.0,3,['B3']
120,4.0,30.0,1.0,5,['B1']
122,4.0,30.0,1.0,5,['B1']
126,4.0,20.0,0.8,5,['B1']
127,4.0,20.0,1.0,6,['B1']
128,4.0,30.0,0.6,5,"['B1', 'B2']"
130,4.0,30.0,1.0,5,"['B1', 'B2']"
132,4.0,20.0,0.8,5,['B1']
134,4.0,20.0,0.6,4,['B3']
138,4.0,30.0,0.6,4,"['B5', 'B3']"
139,4.0,30.0,0.8,4,['B2']
141,4.0,20.0,1.0,4,"['B4', 'B1']"
143,4.0,20.0,0.4,4,['B1']
144,5.0,30.0,0.8,6,['B1']
147,5.0,30.0,1.0,4,['B3']
148,5.0,20.0,1.0,6,['B4']
151,5.0,20.0,1.0,4,['B4']
153,5.0,30.0,0.8,5,['B3']
154,5.0,30.0,0.8,4,['B2']
156,5.0,20.0,1.0,5,['B4']
158,5.0,20.0,1.0,5,['B3']
160,5.0,30.0,1.0,3,['B5']
163,5.0,30.0,1.0,4,['B3']
164,5.0,20.0,0.4,5,['B5']
167,5.0,20.0,0.8,5,['B5']
168,5.0,30.0,1.0,5,['B3']
171,5.0,30.0,1.0,4,['B2']
173,5.0,20.0,0.6,5,['B5']
175,5.0,20.0,1.0,5,['B3']
176,5.0,30.0,1.0,5,['B3']
178,5.0,30.0,1.0,5,"['B5', 'B3']"
182,5.0,20.0,1.0,5,['B3']
183,5.0,20.0,0.6,4,['B3']
184,5.0,30.0,1.0,5,['B3']
186,5.0,30.0,1.0,5,['B3']
188,5.0,20.0,1.0,5,['B3']
190,5.0,20.0,1.0,5,['B3']
193,6.0,30.0,0.8,5,"['B1', 'B5']"
195,6.0,30.0,1.0,4,"['B1', 'B5']"
196,6.0,20.0,1.0,5,['B1']
197,6.0,20.0,1.0,4,"['B4', 'B1']"
202,6.0,30.0,1.0,5,"['B1', 'B4']"
203,6.0,30.0,1.0,6,['B1']
204,6.0,20.0,0.8,4,['B2']
207,6.0,20.0,0.8,5,"['B1', 'B5']"
209,6.0,30.0,0.8,4,"['B4', 'B1']"
211,6.0,30.0,1.0,5,"['B1', 'B5']"
213,6.0,20.0,1.0,4,"['B5', 'B4']"
