,name,block_num,trial_num,probe1_answ,probe2_answ
0,2,training,1,NA,NA
1,2,training,1,NA,NA
2,2,training,1,NA,NA
3,2,training,1,NA,NA
4,2,training,1,NA,NA
5,2,training,1,NA,NA
6,2,training,1,NA,NA
7,2,training,1,NA,NA
8,2,training,1,NA,NA
9,2,training,1,NA,NA
10,2,training,1,NA,NA
11,2,0,1,NA,NA
12,2,0,2,NA,NA
13,2,0,3,NA,NA
14,2,0,4,NA,NA
15,2,1,1,5,['B1']
16,2,1,2,6,['B1']
17,2,1,3,NA,NA
18,2,1,4,NA,NA
19,2,2,1,NA,NA
20,2,2,2,6,['B1']
21,2,2,3,NA,NA
22,2,2,4,6,['B1']
23,2,3,1,6,['B1']
24,2,3,2,NA,NA
25,2,3,3,NA,NA
26,2,3,4,5,['B1']
27,2,4,1,6,['B1']
28,2,4,2,5,['B2']
29,2,4,3,NA,NA
30,2,4,4,NA,NA
31,2,5,1,5,['B1']
32,2,5,2,NA,NA
33,2,5,3,NA,NA
34,2,5,4,6,['B2']
35,2,6,1,6,['B1']
36,2,6,2,NA,NA
37,2,6,3,NA,NA
38,2,6,4,5,['B3']
39,2,7,1,5,['B2']
40,2,7,2,6,['B1']
41,2,7,3,NA,NA
42,2,7,4,NA,NA
43,2,8,1,6,['B1']
44,2,8,2,6,['B1']
45,2,8,3,NA,NA
46,2,8,4,NA,NA
47,2,9,1,NA,NA
48,2,9,2,5,['B1']
49,2,9,3,NA,NA
50,2,9,4,6,['B1']
51,2,10,1,NA,NA
52,2,10,2,NA,NA
53,2,10,3,6,['B1']
54,2,10,4,5,['B2']
55,2,11,1,6,['B1']
56,2,11,2,5,['B2']
57,2,11,3,NA,NA
58,2,11,4,NA,NA
