,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,011,training,1,6,['B1'],127708
1,011,training,1,NA,NA,NA
2,011,training,1,6,['B1'],235973
3,011,training,1,5,['B3'],279624
4,011,0,1,6,['B1'],327724
5,011,0,2,NA,NA,NA
6,011,0,3,NA,NA,NA
7,011,0,4,4,['B2'],439457
8,011,1,1,NA,NA,NA
9,011,1,2,6,['B1'],539775
10,011,1,3,6,['B1'],597091
11,011,1,4,NA,NA,NA
12,011,2,1,NA,NA,NA
13,011,2,2,NA,NA,NA
14,011,2,3,4,"['B2', 'B5']",764792
15,011,2,4,4,"['B4', 'B3']",821991
16,011,3,1,6,['B1'],879108
17,011,3,2,NA,NA,NA
18,011,3,3,5,['B3'],974925
19,011,3,4,NA,NA,NA
20,011,4,1,NA,NA,NA
21,011,4,2,NA,NA,NA
22,011,4,3,5,"['B1', 'B3']",1138943
23,011,4,4,5,['B3'],1189509
24,011,5,1,NA,NA,NA
25,011,5,2,5,"['B1', 'B3']",1287859
26,011,5,3,NA,NA,NA
27,011,5,4,5,"['B5', 'B1']",1382115
28,011,6,1,4,['B3'],1440626
29,011,6,2,NA,NA,NA
30,011,6,3,NA,NA,NA
31,011,6,4,4,"['B4', 'B3']",1545916
32,011,7,1,5,"['B2', 'B5']",1602260
33,011,7,2,NA,NA,NA
34,011,7,3,4,"['B2', 'B5']",1698710
35,011,7,4,NA,NA,NA
36,011,8,1,4,['B4'],1809461
37,011,8,2,NA,NA,NA
38,011,8,3,NA,NA,NA
39,011,8,4,4,"['B4', 'B1']",1919483
40,011,9,1,5,"['B4', 'B3']",1975301
41,011,9,2,4,"['B4', 'B3']",2028895
42,011,9,3,NA,NA,NA
43,011,9,4,NA,NA,NA
44,011,10,1,NA,NA,NA
45,011,10,2,NA,NA,NA
46,011,10,3,3,"['B2', 'B4']",2230445
47,011,10,4,4,"['B3', 'B2']",2291262
48,011,11,1,NA,NA,NA
49,011,11,2,4,"['B3', 'B5']",2384762
50,011,11,3,5,['B3'],2438202
51,011,11,4,NA,NA,NA
