,name,block_num,trial_num,probe1_answ,probe2_answ,probe1_time
0,005,training,1,NA,NA,NA
1,005,training,1,NA,NA,NA
2,005,training,1,5,['B3'],481848
3,005,training,1,NA,NA,NA
4,005,0,1,6,['B1'],604987
5,005,0,2,NA,NA,NA
6,005,0,3,NA,NA,NA
7,005,0,4,4,['B3'],742371
8,005,1,1,6,['B4'],789171
9,005,1,2,NA,NA,NA
10,005,1,3,NA,NA,NA
11,005,1,4,4,['B4'],906738
12,005,2,1,NA,NA,NA
13,005,2,2,5,['B3'],1026488
14,005,2,3,4,['B2'],1080422
15,005,2,4,NA,NA,NA
16,005,3,1,5,['B4'],1161822
17,005,3,2,NA,NA,NA
18,005,3,3,5,['B3'],1235339
19,005,3,4,NA,NA,NA
20,005,4,1,3,['B5'],1370729
21,005,4,2,NA,NA,NA
22,005,4,3,NA,NA,NA
23,005,4,4,4,['B3'],1502975
24,005,5,1,5,['B5'],1555897
25,005,5,2,NA,NA,NA
26,005,5,3,NA,NA,NA
27,005,5,4,5,['B5'],1662173
28,005,6,1,5,['B3'],1779996
29,005,6,2,NA,NA,NA
30,005,6,3,NA,NA,NA
31,005,6,4,4,['B2'],1914357
32,005,7,1,NA,NA,NA
33,005,7,2,5,['B5'],1990207
34,005,7,3,NA,NA,NA
35,005,7,4,5,['B3'],2056474
36,005,8,1,5,['B3'],2174441
37,005,8,2,NA,NA,NA
38,005,8,3,5,"['B5', 'B3']",2265008
39,005,8,4,NA,NA,NA
40,005,9,1,NA,NA,NA
41,005,9,2,NA,NA,NA
42,005,9,3,5,['B3'],2422025
43,005,9,4,4,['B3'],2465658
44,005,10,1,5,['B3'],2557098
45,005,10,2,NA,NA,NA
46,005,10,3,5,['B3'],2649876
47,005,10,4,NA,NA,NA
48,005,11,1,5,['B3'],2728726
49,005,11,2,NA,NA,NA
50,005,11,3,5,['B3'],2795926
51,005,11,4,NA,NA,NA
